,Aturan,Support XuY %,Support X %,Confidence %
317,"('Yogurt', 'chocolate')=>Bread",10.0,38.0,26.0
318,"('chocolate', 'Bread')=>Yogurt",10.0,42.0,24.0
319,"('chocolate', 'Yogurt')=>Bread",10.0,38.0,26.0
320,"('Butter', 'Ice cream')=>Cheese",10.0,40.0,24.0
321,"('Ice cream', 'Butter')=>Cheese",10.0,40.0,24.0
322,"('Butter', 'Cheese')=>Kidney Beans",10.0,41.0,24.0
323,"('Butter', 'Kidney Beans')=>Cheese",10.0,40.0,24.0
324,"('Cheese', 'Butter')=>Kidney Beans",10.0,41.0,24.0
325,"('Kidney Beans', 'Butter')=>Cheese",10.0,40.0,24.0
326,"('Butter', 'Cheese')=>Nutmeg",10.0,40.0,24.0
327,"('Butter', 'Nutmeg')=>Cheese",10.0,40.0,24.0
328,"('Cheese', 'Butter')=>Nutmeg",10.0,40.0,24.0
329,"('Nutmeg', 'Butter')=>Cheese",10.0,40.0,24.0
330,"('Butter', 'Corn')=>Ice cream",10.0,41.0,25.0
331,"('Butter', 'Ice cream')=>Corn",10.0,41.0,25.0
332,"('Corn', 'Butter')=>Ice cream",10.0,41.0,25.0
333,"('Corn', 'Ice cream')=>Butter",10.0,42.0,24.0
334,"('Ice cream', 'Butter')=>Corn",10.0,41.0,25.0
335,"('Ice cream', 'Corn')=>Butter",10.0,42.0,24.0
336,"('Butter', 'Corn')=>Kidney Beans",10.0,41.0,25.0
337,"('Butter', 'Kidney Beans')=>Corn",10.0,41.0,25.0
338,"('Corn', 'Butter')=>Kidney Beans",10.0,41.0,25.0
339,"('Corn', 'Kidney Beans')=>Butter",10.0,42.0,24.0
340,"('Kidney Beans', 'Butter')=>Corn",10.0,41.0,25.0
341,"('Kidney Beans', 'Corn')=>Butter",10.0,42.0,24.0
342,"('Butter', 'Corn')=>Onion",10.0,40.0,24.0
343,"('Butter', 'Onion')=>Corn",10.0,41.0,24.0
344,"('Corn', 'Butter')=>Onion",10.0,40.0,24.0
345,"('Onion', 'Butter')=>Corn",10.0,41.0,24.0
346,"('Butter', 'Corn')=>Sugar",10.0,41.0,24.0
347,"('Butter', 'Sugar')=>Corn",10.0,41.0,24.0
348,"('Corn', 'Butter')=>Sugar",10.0,41.0,24.0
349,"('Corn', 'Sugar')=>Butter",10.0,42.0,24.0
350,"('Sugar', 'Butter')=>Corn",10.0,41.0,24.0
351,"('Sugar', 'Corn')=>Butter",10.0,42.0,24.0
352,"('Butter', 'chocolate')=>Corn",10.0,41.0,24.0
353,"('chocolate', 'Butter')=>Corn",10.0,41.0,24.0
354,"('Butter', 'Ice cream')=>Kidney Beans",11.0,41.0,27.0
355,"('Butter', 'Kidney Beans')=>Ice cream",11.0,41.0,27.0
356,"('Ice cream', 'Butter')=>Kidney Beans",11.0,41.0,27.0
357,"('Ice cream', 'Kidney Beans')=>Butter",11.0,42.0,26.0
358,"('Kidney Beans', 'Butter')=>Ice cream",11.0,41.0,27.0
359,"('Kidney Beans', 'Ice cream')=>Butter",11.0,42.0,26.0
360,"('Butter', 'Ice cream')=>Nutmeg",10.0,40.0,25.0
361,"('Butter', 'Nutmeg')=>Ice cream",10.0,41.0,25.0
362,"('Ice cream', 'Butter')=>Nutmeg",10.0,40.0,25.0
363,"('Ice cream', 'Nutmeg')=>Butter",10.0,42.0,24.0
364,"('Nutmeg', 'Butter')=>Ice cream",10.0,41.0,25.0
365,"('Nutmeg', 'Ice cream')=>Butter",10.0,42.0,24.0
366,"('Butter', 'Ice cream')=>Onion",10.0,40.0,26.0
367,"('Butter', 'Onion')=>Ice cream",10.0,41.0,25.0
368,"('Ice cream', 'Butter')=>Onion",10.0,40.0,26.0
369,"('Ice cream', 'Onion')=>Butter",10.0,42.0,25.0
370,"('Onion', 'Butter')=>Ice cream",10.0,41.0,25.0
371,"('Onion', 'Ice cream')=>Butter",10.0,42.0,25.0
372,"('Butter', 'Ice cream')=>Sugar",11.0,41.0,26.0
373,"('Butter', 'Sugar')=>Ice cream",11.0,41.0,26.0
374,"('Ice cream', 'Butter')=>Sugar",11.0,41.0,26.0
375,"('Ice cream', 'Sugar')=>Butter",11.0,42.0,25.0
376,"('Sugar', 'Butter')=>Ice cream",11.0,41.0,26.0
377,"('Sugar', 'Ice cream')=>Butter",11.0,42.0,25.0
378,"('Butter', 'Ice cream')=>Unicorn",10.0,39.0,26.0
379,"('Butter', 'Unicorn')=>Ice cream",10.0,41.0,24.0
380,"('Ice cream', 'Butter')=>Unicorn",10.0,39.0,26.0
381,"('Ice cream', 'Unicorn')=>Butter",10.0,42.0,24.0
382,"('Unicorn', 'Butter')=>Ice cream",10.0,41.0,24.0
383,"('Unicorn', 'Ice cream')=>Butter",10.0,42.0,24.0
384,"('Butter', 'Ice cream')=>chocolate",11.0,42.0,26.0
385,"('Butter', 'chocolate')=>Ice cream",11.0,41.0,27.0
386,"('Ice cream', 'Butter')=>chocolate",11.0,42.0,26.0
387,"('Ice cream', 'chocolate')=>Butter",11.0,42.0,26.0
388,"('chocolate', 'Butter')=>Ice cream",11.0,41.0,27.0
389,"('chocolate', 'Ice cream')=>Butter",11.0,42.0,26.0
390,"('Butter', 'Kidney Beans')=>Milk",10.0,41.0,26.0
391,"('Butter', 'Milk')=>Kidney Beans",10.0,41.0,25.0
392,"('Kidney Beans', 'Butter')=>Milk",10.0,41.0,26.0
393,"('Kidney Beans', 'Milk')=>Butter",10.0,42.0,25.0
394,"('Milk', 'Butter')=>Kidney Beans",10.0,41.0,25.0
395,"('Milk', 'Kidney Beans')=>Butter",10.0,42.0,25.0
396,"('Butter', 'Kidney Beans')=>Nutmeg",10.0,40.0,25.0
397,"('Butter', 'Nutmeg')=>Kidney Beans",10.0,41.0,25.0
398,"('Kidney Beans', 'Butter')=>Nutmeg",10.0,40.0,25.0
399,"('Kidney Beans', 'Nutmeg')=>Butter",10.0,42.0,24.0
400,"('Nutmeg', 'Butter')=>Kidney Beans",10.0,41.0,25.0
401,"('Nutmeg', 'Kidney Beans')=>Butter",10.0,42.0,24.0
402,"('Butter', 'Kidney Beans')=>Sugar",10.0,41.0,24.0
403,"('Butter', 'Sugar')=>Kidney Beans",10.0,41.0,24.0
404,"('Kidney Beans', 'Butter')=>Sugar",10.0,41.0,24.0
405,"('Sugar', 'Butter')=>Kidney Beans",10.0,41.0,24.0
406,"('Butter', 'Yogurt')=>Kidney Beans",10.0,41.0,24.0
407,"('Yogurt', 'Butter')=>Kidney Beans",10.0,41.0,24.0
408,"('Butter', 'chocolate')=>Kidney Beans",10.0,41.0,24.0
409,"('chocolate', 'Butter')=>Kidney Beans",10.0,41.0,24.0
410,"('Butter', 'Milk')=>Nutmeg",10.0,40.0,24.0
411,"('Butter', 'Nutmeg')=>Milk",10.0,41.0,24.0
412,"('Milk', 'Butter')=>Nutmeg",10.0,40.0,24.0
413,"('Nutmeg', 'Butter')=>Milk",10.0,41.0,24.0
414,"('Butter', 'Milk')=>Onion",10.0,40.0,24.0
415,"('Milk', 'Butter')=>Onion",10.0,40.0,24.0
416,"('Butter', 'Sugar')=>Milk",10.0,41.0,24.0
417,"('Sugar', 'Butter')=>Milk",10.0,41.0,24.0
418,"('Butter', 'Milk')=>chocolate",10.0,42.0,24.0
419,"('Butter', 'chocolate')=>Milk",10.0,41.0,25.0
420,"('Milk', 'Butter')=>chocolate",10.0,42.0,24.0
421,"('Milk', 'chocolate')=>Butter",10.0,42.0,24.0
422,"('chocolate', 'Butter')=>Milk",10.0,41.0,25.0
423,"('chocolate', 'Milk')=>Butter",10.0,42.0,24.0
424,"('Butter', 'Nutmeg')=>Onion",10.0,40.0,26.0
425,"('Butter', 'Onion')=>Nutmeg",10.0,40.0,26.0
426,"('Nutmeg', 'Butter')=>Onion",10.0,40.0,26.0
427,"('Nutmeg', 'Onion')=>Butter",10.0,42.0,25.0
428,"('Onion', 'Butter')=>Nutmeg",10.0,40.0,26.0
429,"('Onion', 'Nutmeg')=>Butter",10.0,42.0,25.0
430,"('Butter', 'Nutmeg')=>Sugar",10.0,41.0,24.0
431,"('Butter', 'Sugar')=>Nutmeg",10.0,40.0,24.0
432,"('Nutmeg', 'Butter')=>Sugar",10.0,41.0,24.0
433,"('Sugar', 'Butter')=>Nutmeg",10.0,40.0,24.0
434,"('Butter', 'Nutmeg')=>Yogurt",10.0,42.0,24.0
435,"('Butter', 'Yogurt')=>Nutmeg",10.0,40.0,25.0
436,"('Nutmeg', 'Butter')=>Yogurt",10.0,42.0,24.0
